id;identificador;CCID;Data / Entrega;Requisição;Cliente;Local de Entrega;Modelo;SLA de Inserção;SLA de Viagem;SLA de retirada;SLA / Envio ao Brasil;SLA da Operação;Data / Inserção;Data / Chegada no Destino;Data / Retirada;Data / Envio ao Brasil;Data / Brasil;BL;Container;Status / Operação;Reposição;Observação;latitude;longitude;Data / Embarque Maritimo;Data / Desembarque Maritimo;SLA Terrestre;SLA Maritimo;Local;Status do Container;Data do Desembarque
1;1077418;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;45;;;;;23/01/2025;;23/01/2025;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;21/01/2025
2;256485;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;23/01/2025;14/02/2025;11;22;Porto de Barcelona;Desembarcado;14/02/2025
3;1074248;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;25/12/2024;20/01/2025;9;26;Porto de Antuérpia;Desembarcado;20/01/2025
4;256486;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;25/12/2024;20/01/2025;9;26;Porto de Antuérpia;Desembarcado;20/01/2025
5;256455;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;04/02/2025
6;1074325;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;45;;;;;23/01/2025;;23/01/2025;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;28/12/2024;02/02/2025;11;36;Porto de Antuérpia;Desembarcado;02/02/2025
7;517350;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;14;;;;;23/12/2024;;23/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;28/12/2024;02/02/2025;11;36;Porto de Antuérpia;Desembarcado;02/02/2025
8;234120;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;02/02/2025
9;517097;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;02/02/2025
10;1074342;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;45;;;;;23/01/2025;;23/01/2025;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;02/02/2025
11;1074656;;09/12/2024;573;VelosoCoffee;Carmo do Paranaiba/MG;Tetis Dry;45;;;;;23/01/2025;;23/01/2025;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;02/02/2025
12;1074660;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;13/12/2024;;13/12/2024;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;02/02/2025
13;1074244;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;Eq. Overhaul;;;29/12/2024;02/02/2025;12;35;Porto de Antuérpia;Desembarcado;02/02/2025
14;1074562;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;29/01/2025
15;1074721;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;07/11/2024
16;1074252;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Barcelona;Desembarcado;27/01/2025
17;1074654;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;0;;;;;;;;;;;;Estoque Cliente;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Bremen;Desembarcado;30/12/2024
18;1074714;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;13/12/2024;;;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;06/02/2025
19;1074317;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;13/12/2024;;;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;03/01/2025
20;256359;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;13/12/2024;;;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Barcelona;Desembarcado;24/12/2024
21;1077427;;09/12/2024;574;Cooxupe;Guaxupe/SP;Tetis Dry;4;;;;;13/12/2024;;;;;;;Em viagem;Dentro do Prazo;Eq. Overhaul;;;;;0;0;Porto de Antuérpia;Desembarcado;23/01/2025
