identificador,CCID,Data / Entrega,Requisição,Cliente,Local de Entrega,Modelo,SLA de Inserção,SLA de Viagem,SLA de retirada,SLA / Envio ao Brasil,SLA da Operação,Data / Inserção,Data / Chegada no Destino,Data / Retirada,Data / Envio ao Brasil,Data / Brasil,BL,Container,Status / Operação,Reposição,Observação,latitude,longitude
1077418,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,45.0,,,,,2025-01-23,,2025-01-23,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
256485,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074248,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
256486,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
256455,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074325,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,45.0,,,,,2025-01-23,,2025-01-23,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
517350,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,14.0,,,,,2024-12-23,,2024-12-23,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
234120,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
517097,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074342,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,45.0,,,,,2025-01-23,,2025-01-23,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074656,,2024-12-09,573,VelosoCoffee,Carmo do Paranaiba/MG,Tetis Dry,45.0,,,,,2025-01-23,,2025-01-23,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074660,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,4.0,,,,,2024-12-13,,2024-12-13,,,,,Em viagem,Dentro do Prazo,Eq. Overhaul,,
1074244,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Dentro do Prazo,Eq. Overhaul,,
1074562,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Dentro do Prazo,Eq. Overhaul,,
1074721,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Dentro do Prazo,Eq. Overhaul,,
1074252,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Dentro do Prazo,Eq. Overhaul,,
1074654,,2024-12-09,574,Cooxupe,Guaxupe/SP,Tetis Dry,0.0,,,,,,,,,,,,Estoque Cliente,Dentro do Prazo,Eq. Overhaul,,
